YMD,지점,평균기온,최저기온,최고기온,강수량,미세먼지
2019-09-26,전국,20.4,16,26.2,0,23.5
2019-09-27,전국,21.4,16.8,26.9,1.5,24.43478261
2019-09-28,전국,22.5,19.3,27.4,1.8,24.92307692
2019-09-29,전국,22.2,18,28.5,0.1,30.03571429
2019-09-30,전국,21.6,16.4,28.2,0.1,36.65384615
2019-10-01,전국,21.5,18.4,24.9,9.4,33.20833333
2019-10-02,전국,21.1,19.8,22.9,106.3,19.57894737
2019-10-03,전국,22,18.7,26.3,28.9,21.6875
2019-10-04,전국,21.2,17.1,26.9,0.3,29.95652174
2019-10-05,전국,18.9,15.5,22.6,3.2,27.04761905
2019-10-06,전국,17.3,13.4,21.8,0,14.9047619
2019-10-07,전국,15.5,13.8,17.7,8.6,11.75
2019-10-08,전국,15.9,10.3,22,0.1,0
2019-10-09,전국,13.3,6.8,21.2,0,0
2019-10-10,전국,14.9,8.6,21.6,0,21.88
2019-10-11,전국,17.9,11.9,24.8,0,28.38461538
2019-10-12,전국,18,13.5,23.4,0,25.34615385
2019-10-13,전국,15.9,10.6,22.3,0,20.60869565
2019-10-14,전국,14.7,9.3,21.3,3.4,25.92
2019-10-15,전국,13.3,8.5,18.8,1.2,20.71428571
2019-10-16,전국,13.3,8.1,20.4,0,22.7826087
2019-10-17,전국,14,9.5,19.9,0,24.44
2019-10-18,전국,15.3,11,19.5,3.8,17.45454545
2019-10-19,전국,16.2,11.6,22.6,0.2,20.19047619
2019-10-20,전국,15.1,10.4,22.6,0,28.61904762
2019-10-21,전국,15.3,9.5,23,0,30.58333333
2019-10-22,전국,15.9,10.3,22.9,0,26.18181818
2019-10-23,전국,16,12.1,20,0.1,24.04
2019-10-24,전국,17.4,13.6,22.1,2.3,24.25925926
2019-10-25,전국,16.9,12,22.7,0.3,21.08
2019-10-26,전국,12.8,8.9,17,0,20.28
2019-10-27,전국,10.7,5.4,17.4,0,20.29166667
2019-10-28,전국,11.5,4.5,18.5,0.3,28.8
2019-10-29,전국,13.2,8,18.8,0.7,68.96428571
2019-10-30,전국,11.3,5.7,18.3,0,26.88461538
2019-10-31,전국,13.3,6.1,20.7,0,63.46153846
2019-11-01,전국,14.3,9,21.8,0,85.42307692
2019-11-02,전국,13.5,7.7,19.9,0,57.21428571
2019-11-03,전국,13.8,9.4,20.5,1.5,45.44
2019-11-04,전국,12.5,7.6,18.9,0.2,21.84
2019-11-05,전국,11.7,6,19.1,0,29.07142857
2019-11-06,전국,11.3,5.5,18.6,0,34.07142857
2019-11-07,전국,10.8,5.7,16.9,0,34.25
2019-11-08,전국,7.8,2.3,15.3,0,33.36
2019-11-09,전국,8.5,1.6,17.3,0.1,32.78571429
2019-11-10,전국,9.4,3,15.8,8.5,30.66666667
2019-11-11,전국,12.1,7.8,16.9,1.1,25
2019-11-12,전국,9.7,4.8,16.6,0,28.84615385
2019-11-13,전국,8.9,3.7,13.9,2.8,27.25925926
2019-11-14,전국,3.7,-0.7,8.6,0,20
2019-11-15,전국,7.2,-1,14,3.6,30.23076923
2019-11-16,전국,10.3,5.1,17.1,0.2,33.28571429
2019-11-17,전국,11,6.1,15.4,19,29.84615385
2019-11-18,전국,8.7,3.4,16.4,11.6,63.14814815
2019-11-19,전국,3.7,0.6,7,0.1,26
2019-11-20,전국,2.6,-2.1,8.9,0,19.92592593
2019-11-21,전국,5,-2.6,12.2,0,29.14814815
2019-11-22,전국,9.3,2.8,17.3,0,32.14814815
2019-11-23,전국,10.8,4.7,18.2,0,25.17857143
2019-11-24,전국,12.8,7.4,19.6,1.2,26.11111111
2019-11-25,전국,5.9,3.3,10.6,3.5,20.04347826
2019-11-26,전국,7.7,2.6,13.5,0.5,20.72727273
2019-11-27,전국,6.2,2.6,9.7,1,25.64285714
2019-11-28,전국,4.7,0.3,10.4,3.1,27.86956522
2019-11-29,전국,3.4,-1.2,9.9,0,22.48
2019-11-30,전국,5.4,-1.5,12.7,0.1,26.84615385
2019-12-01,전국,6.3,4.7,8.1,12.5,26.85185185
2019-12-02,전국,3.6,0.2,6.8,0.2,18.5
2019-12-03,전국,2.4,-2.7,6.8,0.5,19.71428571
2019-12-04,전국,4.2,-0.3,9.5,0.1,24.81481481
2019-12-05,전국,0.2,-4.4,4.8,0,18.96428571
2019-12-06,전국,-3.2,-7.7,2.3,0,20.65384615
2019-12-07,전국,0.1,-6.5,6.1,0,29.71428571
2019-12-08,전국,1.4,-3.3,8,0,34.03571429
2019-12-09,전국,3,-3.6,10.1,0.1,43.19230769
2019-12-10,전국,6.5,1.5,13.4,0.4,65.84615385
2019-12-11,전국,6.9,1.8,13.3,0.2,52.44444444
2019-12-12,전국,1.7,-2.4,6.1,0,16.40740741
2019-12-13,전국,1.6,-4.6,8.1,0.1,22.51851852
2019-12-14,전국,4,-0.1,9,0.4,29.92857143
2019-12-15,전국,4.7,-1.5,12.4,0,27.62962963
2019-12-16,전국,7.1,1,14.1,0,28.17857143
2019-12-17,전국,8.3,3.9,12.5,2.2,24.92857143
2019-12-18,전국,4.6,1.8,8.5,0.4,26.55555556
2019-12-19,전국,2.2,-1.3,6.8,0,20.42857143
2019-12-20,전국,1,-3,5.4,0.1,23.48148148
2019-12-21,전국,0.2,-4.1,4.7,0.1,29.28571429
2019-12-22,전국,3,-1.1,9,0.1,40.60714286
2019-12-23,전국,3.8,-1,8.7,0.7,37
2019-12-24,전국,2.1,-2,9,0,38.40740741
2019-12-25,전국,3.5,-3.2,10.9,0,33.88461538
2019-12-26,전국,3.7,1.4,6.1,1.1,32.5
2019-12-27,전국,0.6,-3.2,5.1,0,23.03571429
2019-12-28,전국,0.5,-4.9,7.5,0,33
2019-12-29,전국,2.6,-2.4,6.6,6.2,34.67857143
2019-12-30,전국,5,0.1,9.8,0.9,24.38461538
2019-12-31,전국,-3.8,-6.7,0.4,0.1,19.60714286
2020-01-01,전국,-0.9,-6.5,4.1,0,22.5
